Beer,Brewery,Style,YourRating,GlobalRating
Barrel Aged Aurox Imperial Stout (Maple Syrup) -- Batch I (3/5/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.26
Arctic Breakfast,Fox Brewing Company,Brown Ale - American,2.75,3.8
Iowa City Wave Mango Smoothie Selzer,Backpocket Brewing,Hard Seltzer,3.25,3.49
Jalapeño Pepper Ale,Bent River Brewing Company,Chilli / Chile Beer,3,3.29
Ghost Face Killah,Twisted Pine Brewing Company,Chilli / Chile Beer,2,2.85
Stuff of Legend,Boulevard Brewing Co.,Stout - Imperial / Double Pastry,4.25,4
Black Butte XXIV,Deschutes Brewery,Porter - Imperial / Double,4,4.25
Florida Stout (Coconut & Vanilla) [Batch 3],Voodoo Brewing Co.,Stout - Imperial / Double Pastry,4.5,4.2
Peanut Butter Volcano,Ferndale Project,Stout - Imperial / Double,4,4.1
Morning Light,Lua Brewing,Kellerbier / Zwickelbier,3.75,4.01
Wicked Joe,Lucky Bucket Brewing Company,Stout - Imperial / Double Oatmeal,4,4.11
Colossus,Lua Brewing,IPA - Triple,4,4.37
Sip N Slide Splashtastic Sour!,ReUnion Brewery,Sour - Fruited Berliner Weisse,4,3.64
Witches Brew,Vala's Pumpkin Patch,Cider - Herbed / Spiced / Hopped,3.75,3.81
Nebraska Classic Cider,Vala's Pumpkin Patch,Cider - Sweet,3.5,3.58
Nothing Ventured,Lua Brewing,Sour - Fruited,4.75,4.42
Nothing Gained,Lua Brewing,Sour - Fruited,4.5,4.36
"Bourbon Barrel Ferryman's, Bourbon Barrel Aged Russian Imperial Stout",Confluence Brewing Company,Stout - Russian Imperial,4.25,4.12
Black Betty Imperial Stout,Nebraska Brewing Company,Stout - Russian Imperial,3.75,4.06
Get Chocolate Wasted,Gezellig Brewing Company,Stout - Imperial / Double Milk,3.5,4.19
Beggars’ Night Imperial Stout (2021),Barn Town Brewing,Stout - Imperial / Double,2.75,3.33
Witch's Broom,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.01
Space Camper Cosmic IPA,Boulevard Brewing Co.,IPA - American,4,3.73
Frayja,Anchorage Brewing Company,Porter - Imperial / Double Baltic,4.5,4.34
Infinite Wishes Coconut & Vanilla (2021),Smog City Brewing Co.,Stout - Imperial / Double,4.25,4.31
Big Luau,515 Brewing Company,IPA - Imperial / Double Milkshake,3.75,4.06
"Frubulous - Raspberry, Orange, Lime & Sherbert",Deciduous Brewing Company,Sour - Fruited,4.25,4.27
Lick the Spoon,White Elm Brewing Company,Stout - Imperial / Double Milk,4,4.17
Greenbelt IPA,515 Brewing Company,IPA - American,4,3.87
Flying Seahorses,Toppling Goliath Brewing Co.,IPA - Imperial / Double New England / Hazy,4.25,4.18
Everybody Love Everybody,Drekker Brewing Company,Sour - Smoothie / Pastry,3.25,4.17
Kindness,Anchorage Brewing Company,IPA - Session,4.75,3.94
Chocolate Chip Flapjack Special,WeldWerks Brewing Co.,Stout - Imperial / Double Milk,4.25,4.19
Dire Wolf Yub Nub,Wolf's Ridge Brewing,Stout - Russian Imperial,4,4.16
Lilith's Brethren,Anchorage Brewing Company,IPA - Imperial / Double,4.25,4.15
Coven (Ghost 1049),Adroit Theory,Stout - Russian Imperial,4,3.97
H.A.Z.Y. IPA,SweetWater Brewing Company,IPA - New England / Hazy,3.75,3.74
Fresh Batch Series: S'mores,Toppling Goliath Brewing Co.,Stout - Imperial / Double Pastry,4.25,4.15
Ol’ Griz Barleywine (Barrel Aged) 2020,Boone Valley Brewing Company,Barleywine - American,2.25,4.08
The Abyss (2010),Deschutes Brewery,Stout - Imperial / Double,2.5,4.41
"Barrel Aged Cicada Killer – Coffee, Macadamia Nut, & Chocolate",Barn Town Brewing,Stout - Imperial / Double Pastry,4.5,4.41
Oktoberfest,Barn Town Brewing,Märzen,3.5,3.63
Bluffing Isn't Weisse,Bad Beat Brewing,Wheat Beer - Hefeweizen,3.5,3.64
LightSky Citrus Wheat,Blue Moon Brewing Company,Wheat Beer - Other,3.5,3.29
Modelo Especial,Grupo Modelo,Lager - Mexican,3.5,3.11
Death By Flapjacks,Oskar Blues Brewery,Porter - English,3.5,3.84
Vanilla Pumpkin Beer,O'Fallon Brewery,Pumpkin / Yam Beer,3,3.71
Foster's Lager,Carlton & United Breweries,Lager - Pale,2.5,2.78
Marzen,ReUnion Brewery,Märzen,2.75,3.67
Pineapple Haze,Jefferson County Ciderworks,Cider - Traditional / Apfelwein,3.5,4.06
Tropical Pineapple,Jefferson County Ciderworks,Cider - Other Fruit,3.5,3.71
Double Blackberry Sour,Big Grove Brewery,Sour - Fruited,4,3.91
Mai Tai,903 Brewers,Sour - Fruited Berliner Weisse,4.5,4.18
"Jammy Pants (Raspberry, Cherry and Lime)",Great Notion Brewing,Sour - Fruited,4,4.13
Traeblod,Mikkeller Brewing San Diego,Stout - Imperial / Double,4.25,4.09
Clonefest,Backpocket Brewing,Festbier,3.75,3.68
Bakery: Boysenberry Pie (2021),The Bruery,Stout - Imperial / Double Pastry,4,3.94
Pseudo Seltzer - Pineapple,Toppling Goliath Brewing Co.,Hard Seltzer,2.75,3.69
Pseudo Seltzer - Strawberry,Toppling Goliath Brewing Co.,Hard Seltzer,3.25,3.62
Star Gazing with 8th State,Humble Forager Brewery,Stout - Imperial / Double Pastry,4.5,4.2
13,Surly Brewing Company,Stout - Imperial / Double Milk,4.5,4.3
Into Nothingness,Anchorage Brewing Company,Stout - Imperial / Double,4.25,4.31
Tired But Wired,Anchorage Brewing Company,Stout - Imperial / Double Coffee,4.75,4.44
Ordiata,Double Shift Brewing Company,Stout - Milk / Sweet,3.5,3.77
King of Everything,Tripping Animals Brewing Co.,IPA - Triple New England / Hazy,4.25,4.17
Beer Geek S’mores Shake,Mikkeller Brewing San Diego,Stout - Imperial / Double Pastry,3.5,3.68
Pseudo Seltzer - Watermelon ,Toppling Goliath Brewing Co.,Hard Seltzer,3.75,3.66
Pseudo Seltzer - Mango,Toppling Goliath Brewing Co.,Hard Seltzer,3.75,3.68
Cherry Lime Margarita,Contrary Brewing Company,Sour - Fruited Gose,4.25,3.77
SCIENCE!,WeldWerks Brewing Co.,Sour - Fruited Berliner Weisse,4.25,4.14
Barrel Aged Aurox Imperial Stout (Cacao Nibs & Raspberries) -- Batch II (8/13/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.09
Single Origin,4 Hands Brewing Company,Stout - Imperial / Double,3.5,4.15
Wednesday (2021),Cycle Brewing Company,Stout - Imperial / Double,4.25,4.22
Dark Hollow,Blue Mountain Brewery,Stout - Imperial / Double,4,4
Double Local Dream Mirror,Modist Brewing Co.,IPA - Imperial / Double New England / Hazy,4.25,4.2
"TO THE MILKY WAY & BACK II - RASPBERRY, STRAWBERRY, BLACKBERRY, VANILLA",Evil Twin Brewing NYC,IPA - Milkshake,4.75,4.43
Sweet Baby Jesus!,DuClaw Brewing Company,Porter - American,3.75,3.83
Double Dry Hopped Stacks On Stacks,Other Half Brewing Co.,IPA - Imperial / Double,4,4.32
I.P.A.,Katz's Delicatessen,IPA - American,3.75,3.56
Braaaaaaaains - Strawberry & Lemon,Drekker Brewing Company,Sour - Smoothie / Pastry,4.25,4.23
Green City,Other Half Brewing Co.,IPA - American,4.25,4.14
Rick's Red Ale,Dempsey's Brew Pub and Restaurant,Red Ale - Irish,3,3.17
Merman IPA,Coney Island Brewery,IPA - American,3.75,3.62
Brooklyn East IPA,Brooklyn Brewery,IPA - English,3.25,3.51
Brooklyn Lager,Brooklyn Brewery,Lager - Vienna,3,3.46
Watermelon Session Ale,Montauk Brewing Company,IPA - Session,3.25,3.47
Coconut Disaster,Lion Bridge Brewing Company,Porter - Other,3.5,3.81
Waitoreke NEIPA,Alluvial Brewing Company,IPA - New England / Hazy,4.25,3.97
Yard Sale,Lion Bridge Brewing Company,IPA - American,3,3.82
Big Pig In The City,Reclaimed Rails Brewing Company,Pilsner - German,4,3.65
Blueberry Muffin,Second State Brewing,Fruit Beer,3.75,3.65
Packout: Fruit Punch Shandy,West O Beer,Shandy / Radler,3.75,3.54
Bourbon-Wrapped Double Chocolate Cheesecake,Lion Bridge Brewing Company,Stout - Imperial / Double,3.75,4.11
Joy As An Act of Resistance,Lua Brewing,IPA - New England / Hazy,4.25,4.14
Birthday Bourbon County Brand Stout (2020),Goose Island Beer Co.,Stout - Imperial / Double,4.75,4.59
Barrel-Aged Narwhal,Sierra Nevada Brewing Co.,Stout - Imperial / Double,3.75,4.2
Pollinator,Contrary Brewing Company,Honey Beer,3.75,3.7
Home-Baked (2021),Lion Bridge Brewing Company,Stout - Imperial / Double,4.75,4.4
Most Premium Bourbon Barrel Aged Russian Imperial Stout (2021),Gigantic Brewing Company,Stout - Russian Imperial,4.25,4.19
Birthday Diva (2020),Marto Brewing Company,Stout - Imperial / Double,5,4.61
Soul Hunter,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.16
STRAIGHT FYRE,BlackStack Brewing,IPA - Imperial / Double New England / Hazy,4.5,4.31
Crazy Beaches Hazy Coconut IPA,NoCoast Beer Co,IPA - New England / Hazy,3.5,3.83
To Peach Their Own,NoCoast Beer Co,Sour - Berliner Weisse,3.75,3.67
Escape,Firetrucker Brewery,Wheat Beer - American Pale Wheat,3.75,3.51
Groovy Ruby,Barn Town Brewing,IPA - American,3.5,3.9
Luna Juice (2021),Pulpit Rock Brewing Company,IPA - Imperial / Double,4,4.15
Dusk Till Dusk (2020),Jailbreak Brewing Company,Stout - Imperial / Double,4.5,4.3
Marvoloso 2020: V08,Commonwealth Brewing Company,Stout - Imperial / Double Pastry,4.5,4.34
Sprankle,Transient Artisan Ales,Sour - Fruited,4,4.09
River Beer,Pulpit Rock Brewing Company,Shandy / Radler,4,3.7
Strawberry Milkshake,Lake Time Brewery,IPA - Milkshake,3,3.61
Lontra IPA,Alluvial Brewing Company,IPA - New England / Hazy,4.25,4.03
Froot Camp: Millions of Peaches,WeldWerks Brewing Co.,Sour - Fruited Berliner Weisse,4.5,4.22
Exit 1: Bayshore Oyster Stout (2021),Flying Fish Brewing Co.,Stout - Oyster,2.5,3.79
Dessert Cart - Sour Cinnabon,Mountains Walking Brewery,Stout - Imperial / Double Pastry,3.75,3.95
Cap’n Kooks On Pastry Island,Other Half Brewing Co.,Stout - Imperial / Double Pastry,4.5,4.26
