Beer,Brewery,Style,YourRating,GlobalRating,FirstCheckIn,RecentCheckIn
This $+ØU+ Just Got Serious,Untitled Art,Stout - Imperial / Double Pastry,4.5,4.26,12/20/20,12/20/20
Paul’s Pail,Twisted Vine Brewery (Iowa),Pale Ale - American,3.5,3.47,12/20/20,12/20/20
Big Frooty #32: Pineapple Upside Down Cake,Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.11,12/20/20,12/20/20
Big Frooty #31 - Boodrow,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.01,12/20/20,12/20/20
Bragging Rights,SingleSpeed Brewing Company,IPA - New England / Hazy,4,3.97,12/20/20,12/20/20
Coffee Abraxas (2020),Perennial Artisan Ales,Stout - Imperial / Double Coffee,4.5,4.45,12/20/20,12/20/20
Hadal,Lua Brewing,Stout - Imperial / Double,4.25,4.37,12/19/20,12/19/20
Imperial Marshmallow Fluff Nutcase (2020),Listermann Brewing Company,Porter - Imperial / Double,4,3.95,12/19/20,12/19/20
Weather Beacon Red,Confluence Brewing Company,Märzen,4,3.73,12/19/20,12/19/20
Woke Holidays,Gezellig Brewing Company,Red Ale - American Amber / Red,2.5,3.79,12/16/20,12/16/20
Minuteman,Big Grove Brewery,IPA - Imperial / Double,2,3.98,12/13/20,12/13/20
Honey Luna,NoCoast Beer Co,IPA - Imperial / Double,3.5,3.73,12/13/20,12/13/20
Mudslinger,Back Road Brewery,Stout - American,2,3.18,12/13/20,12/13/20
Noel Classique,Worth Brewing Company,Belgian Strong Golden Ale,2,3.5,12/13/20,12/13/20
French Quarter Temptress,Lakewood Brewing Co.,Stout - Imperial / Double Milk,4.25,4.16,12/12/20,12/12/20
Rêve Coffee Stout,Parish Brewing Co.,Stout - Coffee,3.75,4.22,12/12/20,12/12/20
All That I Have Learned (Ghost 912),Adroit Theory,Stout - Russian Imperial,4.5,4.34,12/11/20,12/11/20
SIPS: Parish Sunrise,Parish Brewing Co.,Sour - Fruited Berliner Weisse,2.5,3.96,12/11/20,12/11/20
Mind Haze,Firestone Walker Brewing Company,IPA - New England / Hazy,3.75,3.77,12/11/20,12/11/20
Smoofee Sour - Banana Peanut,The Brewing Projekt,Sour - Smoothie / Pastry,3,3.72,12/10/20,12/10/20
Vanilla Bean,Locust Cider,Cider - Sweet,3,3.84,12/10/20,12/10/20
Juicy Bits,WeldWerks Brewing Co.,IPA - New England / Hazy,4,4.18,12/10/20,12/10/20
12 On Twelve12,Barn Town Brewing,Stout - Imperial / Double,4.5,4.41,12/10/20,12/10/20
Barrel Aged Cicada Killer (w/ Coconut) (2020),Barn Town Brewing,Stout - Imperial / Double,4.25,4.31,12/10/20,12/10/20
French Toast (All Canned Dates),Hubbard's Cave,Stout - Imperial / Double Pastry,4,4.15,12/10/20,12/10/20
Green Dragon,Lion Bridge Brewing Company,Pilsner - Other,3.5,3.71,12/10/20,12/10/20
Bourbon County Brand Mon Chéri Stout (2019),Goose Island Beer Co.,Stout - Imperial / Double,4,4.31,12/09/20,12/09/20
Some IPA,Pulpit Rock Brewing Company,IPA - American,4,4.04,12/09/20,12/09/20
Alma Mater (2019),Pulpit Rock Brewing Company,IPA - Imperial / Double,3.5,4.03,12/08/20,12/08/20
Raspberry Mother,Parkside Brewing Company,Sour - Berliner Weisse,2.75,3.65,12/08/20,12/08/20
Blustery,Pulpit Rock Brewing Company,Sour - Other,4.5,4.37,12/07/20,12/07/20
Donut Go Breakin' My Heart,Pulpit Rock Brewing Company,Sour - Fruited,4.5,4.3,12/07/20,12/07/20
Banana Straws,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4.5,4.35,12/07/20,12/07/20
Strata-G,Pulpit Rock Brewing Company,IPA - Imperial / Double,4.5,4.14,12/06/20,12/06/20
Saturday Morning Cherry Chocolate,Backpocket Brewing,Sour - Smoothie / Pastry,4,3.8,12/06/20,12/06/20
Tropical Burn Mango DIPA,Firetrucker Brewery,IPA - Imperial / Double,4,3.85,12/06/20,12/06/20
Roxie Irish Red,Boone Valley Brewing Company,Red Ale - Irish,3.5,3.59,12/06/20,12/06/20
Dragon Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4,4.21,12/05/20,12/05/20
Strawberry Shortcake Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4,4.17,12/05/20,12/05/20
Term Oil S'mores,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.5,12/05/20,12/05/20
Kentucky Brunch Brand Stout (2020),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.87,12/05/20,12/05/20
Vanilla Bean Assassin (2019),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.77,12/05/20,12/05/20
