Beer,Brewery,Style,YourRating,GlobalRating,FirstCheckIn,RecentCheckIn
Wonder Bar,Barn Town Brewing,Stout - Milk / Sweet,4,3.96,05/02/21,05/02/21
Double Berry Shake,Great Notion Brewing,Sour - Fruited,5,4.35,04/30/21,04/30/21
Ada County Stout,Woodland Empire Ale Craft,Stout - Imperial / Double,4,4.16,04/28/21,04/28/21
Bourbon Barrel Raspberry Stout with Vanilla Beans,Hardywood Park Craft Brewery,Stout - Imperial / Double,4,4.05,04/27/21,04/27/21
Main Boss,Fair State Brewing Cooperative,Stout - Imperial / Double Pastry,3.75,3.86,04/24/21,04/24/21
The Explorer,Anchorage Brewing Company,Stout - Imperial / Double,4.75,4.31,04/24/21,04/24/21
Darkness (2021) Barrel-Aged,Surly Brewing Company,Stout - Russian Imperial,4,4.4,04/24/21,04/24/21
Mornin' Delight (2020),Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,5,4.54,04/24/21,04/24/21
Barrel Aged Cicada Killer – Maple Cinnamon (2020),Barn Town Brewing,Stout - Imperial / Double Pastry,4.5,4.27,04/24/21,04/24/21
Beer Geek 'The Joy of Shaking IT',Mikkeller Brewing San Diego,Stout - Imperial / Double,4.25,4.2,04/24/21,04/24/21
Coquito,Funky Buddha Brewery,Cream Ale,2.75,3.77,04/18/21,04/18/21
Juicy Gossip,Bell's Brewery,Pale Ale - American,3.75,3.7,04/18/21,04/18/21
Bankrupt On Selling,Lua Brewing,Sour - Fruited,4.5,4.23,04/17/21,04/17/21
Life Like Weeds,Lua Brewing,Sour - Fruited,4.5,4.14,04/17/21,04/17/21
Red Apple Cider,Spire Mountain Cider,Cider - Traditional / Apfelwein,3.5,3.47,04/13/21,04/13/21
I.C. Light,Pittsburgh Brewing Company,Lager - American Light,3.5,2.87,04/11/21,04/11/21
Fish Tale Hodgson's Bitter End IPA,Fish Brewing Company,IPA - American,3.5,3.47,04/11/21,04/11/21
Sandbar Sunday,Islamorada Beer Company,Wheat Beer - American Pale Wheat,3,3.48,04/10/21,04/10/21
Imperial Golden Nugget,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.18,04/10/21,04/10/21
Black & Tan,Yuengling Brewery,Black & Tan,3.5,3.44,04/10/21,04/10/21
Winter Ale,Blue Point Brewing Company,Winter Ale,3.5,3.38,04/10/21,04/10/21
Barrel Aged Aurox Imperial Stout (Pure Liquid Cacao & Coconut) -- Batch IV (3/5/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.27,04/10/21,04/10/21
Blithering Idiot,Weyerbacher Brewing Company,Barleywine - English,3,3.74,04/02/21,04/02/21
That's Not A Knife,Barn Town Brewing,IPA - American,3.75,3.76,04/02/21,04/02/21
Mango Dodger (Rye Barrel Aged Rock Dodger Double IPA With Mango),Confluence Brewing Company,IPA - Imperial / Double,3,3.91,04/02/21,04/02/21
India Pale Ale (IPA),Sprecher Brewing Company,IPA - English,3,3.37,04/02/21,04/02/21
Immoderate,Lua Brewing,Stout - Imperial / Double,4.5,4.49,04/02/21,04/02/21
Tiny Beam of Light,Lua Brewing,Pale Ale - American,4,4.15,04/02/21,04/02/21
Blackbeard's Breakfast,Heavy Seas Beer,Porter - Imperial / Double Coffee,4,4.02,04/01/21,04/01/21
Black Belle 2020 Barrel Aged Imperial Stout,Blackstone Brewing Company,Stout - Imperial / Double,4.25,4.23,04/01/21,04/01/21
Jule Malt,To Øl,Stout - Imperial / Double Milk,4,4.03,03/28/21,03/28/21
Deep Devil ,Shipyard Brewing Company,Brown Ale - American,3.5,3.55,03/28/21,03/28/21
Islamorada Ale (Citrus Ale),Islamorada Beer Company,Blonde Ale,3.5,3.54,03/28/21,03/28/21
Hoax (2020),Hardywood Park Craft Brewery,Stout - Imperial / Double Milk,4.25,4.31,03/28/21,03/28/21
Charles Thiccens,Gezellig Brewing Company,Porter - Imperial / Double,4,4.05,03/28/21,03/28/21
Tropical Trike,Fenders Brewing,IPA - New England / Hazy,3.5,3.86,03/28/21,03/28/21
Mother Pumpkin Ale,Blue Point Brewing Company,Pumpkin / Yam Beer,3.5,3.41,03/28/21,03/28/21
Dark Age,Wicked Weed Brewing,Stout - Imperial / Double,4.25,4.19,03/28/21,03/28/21
Colts Double Chocolate Raspberry Stout,Tennessee Brew Works,Stout - American,3.5,3.7,03/28/21,03/28/21
Gingham,Jackie O's Brewery,Sour - Fruited,2,4.09,03/28/21,03/28/21
Amber,Abita Brewing Company,Lager - American Amber / Red,3.5,3.42,03/28/21,03/28/21
Bigfoot,Sierra Nevada Brewing Co.,Barleywine - American,2.5,3.66,03/28/21,03/28/21
Racer 5 IPA,Bear Republic Brewing Co.,IPA - American,3.75,3.85,03/28/21,03/28/21
Mangolandia,Veza Sur Brewing Co.,Wheat Beer - Other,3.75,3.68,03/25/21,03/25/21
#9,Magic Hat Brewing Company,Pale Ale - American,3,3.56,03/23/21,03/23/21
90 Minute Imperial IPA,Dogfish Head Craft Brewery,IPA - Imperial / Double,4,4.05,03/23/21,03/23/21
Key West Sunset Ale,Carib Brewery USA,Red Ale - American Amber / Red,3.5,3.37,03/23/21,03/23/21
Channel Marker,Islamorada Beer Company,IPA - Session,3.5,3.55,03/21/21,03/21/21
Old Man Winter Ale,Southern Tier Brewing Company,Winter Ale,3.25,3.5,03/21/21,03/21/21
Barrel Aged Aurox Imperial Stout (Brownie Batter) -- Batch I (3/5/2021),Alluvial Brewing Company,Stout - Imperial / Double,3,4.13,03/17/21,03/17/21
Energy Equals,Equilibrium Brewery,IPA - Imperial / Double,4.25,4.2,03/14/21,03/14/21
Chocolate Bunny Stout,Rhinelander Brewing Company,Stout - American,3,3.18,03/13/21,03/13/21
Cooperage Camp Fire Black Lager,Confluence Brewing Company,Lager - Strong,0.25,N/A,03/12/21,03/12/21
Barrel Aged Aurox Imperial Stout (Sumatran Coffee & Maple) -- Batch II (3/13/2019),Alluvial Brewing Company,Stout - Imperial / Double,4.75,4.38,03/12/21,03/12/21
Banana Bread Beer,Eagle Brewery (formerly Charles Wells),Fruit Beer,3.5,3.55,03/09/21,03/09/21
"Bourbon Barrel Monster Cookie Stout, Bourbon Barrel Aged Stout W/ Chocolate & Peanut Butter",Confluence Brewing Company,Stout - Other,4.25,4.28,03/09/21,03/09/21
Tsingtao,Tsingtao (青岛啤酒) Brewery,Lager - Pale,3.25,2.88,03/09/21,03/09/21
Flower Sour,Casa Bruja Brewing Co.,Sour - Other,1,3.6,03/04/21,03/04/21
Beatnik Sour,Exile Brewing Company,Sour - Berliner Weisse,3.75,3.7,02/28/21,02/28/21
Smoothie Bubbs - Berry Blast,Barn Town Brewing,Hard Seltzer,4.25,4.36,02/28/21,02/28/21
UNIFY - Hazy IPA,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.11,02/27/21,02/27/21
Banana Cream Pie Sour,Barn Town Brewing,Sour - Smoothie / Pastry,4,3.99,02/27/21,02/27/21
Hawaiiowan Punch,Barn Town Brewing,Sour - Fruited,3.75,4.1,02/27/21,02/27/21
Stavropol ,Confluence Brewing Company,Stout - Russian Imperial,3,3.87,02/25/21,02/25/21
"Fire, Skulls & Money",Toppling Goliath Brewing Co.,IPA - New England / Hazy,4.25,4.22,02/20/21,02/20/21
The Craic ,Harpoon Brewery,IPA - Red,3.5,3.56,02/12/21,02/12/21
Young's Double Chocolate Stout,Eagle Brewery (formerly Charles Wells),Stout - Milk / Sweet,3,3.67,02/12/21,02/12/21
Dark Charge - Coffee Vanilla (2020),Braxton Brewing Company,Stout - Imperial / Double,4.25,3.89,02/12/21,02/12/21
Idiom - Cacao,Lua Brewing,Porter - English,3.5,3.85,02/12/21,02/12/21
Idiom - Coffee,Lua Brewing,Porter - English,3.75,3.85,02/12/21,02/12/21
Idiom - Peanut,Lua Brewing,Porter - English,4,4.13,02/12/21,02/12/21
Idiom - Coconut,Lua Brewing,Porter - English,4.25,4.07,02/12/21,02/12/21
Latte Perk Up Porter,Brightside Aleworks,Porter - American,4.25,4.07,02/07/21,02/07/21
Caramel Pecan GAZPROM! (2021),Lion Bridge Brewing Company,Stout - Russian Imperial,4.5,4.32,02/05/21,02/05/21
Abraxas,Perennial Artisan Ales,Stout - Imperial / Double,4.25,4.41,02/01/21,02/01/21
Big Chungus Scottish-Style Wee Heavy Ale W/ Heather,Confluence Brewing Company,Scotch Ale / Wee Heavy,4,3.98,02/01/21,02/01/21
Mood - Imperial Stout,Brightside Aleworks,Stout - Imperial / Double Pastry,3.75,3.78,02/01/21,02/01/21
Honeycrisp,Wilson's Orchard Hard Cider,Cider - Traditional / Apfelwein,3,3.74,02/01/21,02/01/21
Bourbon County Brand Café de Olla Stout (2019),Goose Island Beer Co.,Stout - Imperial / Double Coffee,4.25,4.36,02/01/21,02/01/21
Bourbon County Brand Vanilla Stout (2018),Goose Island Beer Co.,Stout - Imperial / Double,4.75,4.52,01/24/21,01/24/21
Bourbon County Brand Stout (2017) 14.1%,Goose Island Beer Co.,Stout - Imperial / Double,4.25,4.48,01/24/21,01/24/21
Viking Funeral,Four Fathers Brewing,Stout - Imperial / Double Milk,0.25,4.02,01/24/21,01/24/21
Cold Snap,Samuel Adams,Wheat Beer - Witbier / Blanche,3.75,3.48,01/24/21,01/24/21
Fresh IIPA V50,Hubbard's Cave,IPA - Imperial / Double,3.75,3.97,01/14/21,01/14/21
Jesus On A Forklift,Exile Brewing Company,Stout - Imperial / Double,4,4.06,01/14/21,01/14/21
Shiner Candied Pecan Porter,Spoetzl Brewery,Porter - Other,3.75,3.63,01/14/21,01/14/21
Again,Lua Brewing,Stout - Imperial / Double,4.75,4.67,01/07/21,01/07/21
Nitro Merlin,Firestone Walker Brewing Company,Stout - Milk / Sweet,3.75,3.9,01/07/21,01/07/21
Señor Rhino,Alesong Brewing & Blending,Stout - Imperial / Double,4,4.32,01/07/21,01/07/21
Barrel Aged 12 On Twelve12,Barn Town Brewing,Stout - Imperial / Double Pastry,5,4.44,01/06/21,01/06/21
Not Your Kind of People,Anchorage Brewing Company,IPA - Imperial / Double,4.25,4.1,01/06/21,01/06/21
Vanilla Bean Abraxas (2020),Perennial Artisan Ales,Stout - Imperial / Double,4.5,4.38,01/03/21,01/03/21
Maple Syrup Bourbon Barrel Aged OFYMD (2020),Westbrook Brewing Co.,Stout - Pastry,4.25,4.23,01/03/21,01/03/21
Nut Brown Ale,AleSmith Brewing Company,Brown Ale - English,3.5,3.73,12/31/20,12/31/20
Waffle Cone - Neapolitan,Main & Mill Brewing Company,Stout - Imperial / Double Pastry,4.5,4.28,12/31/20,12/31/20
Snugglebug,Smog City Brewing Co.,Sour - Fruited,0.25,4.14,12/31/20,12/31/20
