Beer,Brewery,Style,YourRating,GlobalRating
Stickee Monkee (2016),Firestone Walker Brewing Company,Strong Ale - American,4,4.4
Barrel Aged Cicada Killer (w/ Coconut) (2019),Barn Town Brewing,Stout - Imperial / Double,4.5,4.43
Richard the Whale - Vanilla Coconut,Big Grove Brewery,Stout - Russian Imperial,4.5,4.67
Big Bad Baptist Reserve (Release #6) ,"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,4,4.26
Black Knight IPA,Twisted Vine Brewery (Iowa),IPA - Black / Cascadian Dark Ale,3,3.56
Mallow Vibes Orange Marshmallow Sour,Backpocket Brewing,Sour - Smoothie / Pastry,4,4.08
Orange Shandy,West O Beer,Shandy / Radler,3.75,3.42
Prazelnut Porter - Hazelnut Praline Porter,NoCoast Beer Co,Porter - Other,2,3.8
Ancient Magick (2021),Old Irving Brewing Co.,Stout - Imperial / Double,4.25,4.19
"Fruitcake Cookie Stout, Bourbon Barrel Aged Oatmeal Stout W/ Dried Fruit & Candied Pecans",Confluence Brewing Company,Stout - Imperial / Double,3.25,3.81
BA Hazel's Breakfast Spread,Barn Town Brewing,Stout - Pastry,4.25,4.22
Coffee Shop Vibes (2020),Shared,Stout - Russian Imperial,3.25,4.35
Bourbon Barrel Aged Dark Star (2020),Fremont Brewing,Stout - Imperial / Double Oatmeal,4,4.39
Brian's Great Grape,Barn Town Brewing,Sour - Fruited,4,4.21
ALL I WANT FOR CHRISTMAS IS ET STAY HOME 21,Evil Twin Brewing NYC,Sour - Smoothie / Pastry,4,4.25
Christmas Zombies,The Iowa Project Brewing Company,Stout - Imperial / Double,3.5,3.63
Cordially Yours,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4,4.15
Wind Chill,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4,4.12
Vanilla Deth (2021),Revolution Brewing Company,Stout - Imperial / Double Oatmeal,4.25,4.26
Adult Nap Time - Pecan,Millstream Brewing,Porter - Other,3.75,3.92
Swingin Sticks With Angry Chair,Humble Forager Brewery,Stout - Imperial / Double,4,3.95
Snowed In - Mocha (2021),Copper Kettle Brewing Company (Colorado),Stout - Imperial / Double Oatmeal,4.25,4.15
Barrel Aged Exhausted Parent Stout,Untitled Art,Stout - Imperial / Double Milk,4.25,4.32
Yellow Belly,Buxton Brewery,Stout - Imperial / Double Pastry,4.25,4.34
Coffee Vanilla Dire Wolf,Wolf's Ridge Brewing,Stout - Russian Imperial,3.5,4.18
"Braaaaaaaains - Blueberry, Black Currant, & Plum Double Fruit Smoothie Sour",Drekker Brewing Company,Sour - Smoothie / Pastry,4.5,4.29
Wake the Others,Anchorage Brewing Company,IPA - Triple New England / Hazy,4.5,4.27
Saftig,Pulpit Rock Brewing Company,IPA - New England / Hazy,4.25,4.1
Doomed,Anchorage Brewing Company,Stout - Imperial / Double Coffee,4.25,4.4
Son of A Peach,Kalona Brewing Company,Fruit Beer,3,3.6
Comfy Pants,Lion Bridge Brewing Company,Winter Warmer,3.5,3.79
Foggy Day IPA,North Coast Brewing Company,IPA - American,3.5,3.76
Acme California IPA,North Coast Brewing Company,IPA - American,3.5,3.44
Pinkies Out - Weller Bourbon Barrel-Aged Pointer Brown,Court Avenue Brewing Company,Brown Ale - English,2.25,3.78
Royal Eddy,Big Grove Brewery,IPA - Imperial / Double New England / Hazy,4,4.13
Montana Helles Lager,Bayern Brewing,Lager - Helles,3.5,3.55
Wake Up Iowa,Backpocket Brewing,Stout - Coffee,3.5,3.71
Imperial Banshee,ReUnion Brewery,Stout - Imperial / Double,4,4.04
Wade Wisely,Big Grove Brewery,Stout - Oatmeal,3.5,3.9
Barrel Aged Velvet | 2021,Big Grove Brewery,Stout - Imperial / Double,4.5,4.59
9th Anniversary Stout,Backpocket Brewing,Stout - Russian Imperial,4.25,4.19
2021 Dark Charge Mole,Braxton Brewing Company,Stout - Imperial / Double,4,4.03
Big Bad Baptist Chocolate Raspberry (Release #2),"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,4,4.16
Digital Dawn,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.13
Forced Flair,Toppling Goliath Brewing Co.,IPA - Imperial / Double New England / Hazy,4.25,4.12
Bourbon County Brand Classic Cola Stout (2021),Goose Island Beer Co.,Stout - Imperial / Double,4.25,4.1
Convey Ideas,Company Values,Sour - Smoothie / Pastry,4.25,4.14
Yer Killin' Me S'mores! (2021),Barn Town Brewing,Stout - Imperial / Double Milk,4.5,4.16
Bourbon County Brand Wheatwine (2019),Goose Island Beer Co.,Wheat Beer - Wheat Wine,3,4.18
Barrel-Aged Monogrammatic,Revision Brewing Company,Stout - Imperial / Double,3.75,4.32
"Bourbon Barrel Ferryman's, Bourbon Barrel Aged Russian Imperial Stout",Confluence Brewing Company,Stout - Russian Imperial,4,4.12
Stuff of Legend,Boulevard Brewing Co.,Stout - Imperial / Double Pastry,4,4
By & By,YaYa Brewing Company,Stout - Milk / Sweet,3,4.06
El Jefe (2018),Madhouse Brewing Company,Stout - Imperial / Double,4.25,4.39
KBS Cinnamon Vanilla Cocoa (2021),Founders Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.12
"Barrel Aged Cicada Killer - Cinnamon, Coconut, Caramel, & Chocolate - 2021",Barn Town Brewing,Stout - Imperial / Double Pastry,4.25,4.33
Velvet Merkin (2016),Firestone Walker Brewing Company,Stout - Imperial / Double Oatmeal,3.25,4.22
Salmon Fly Honey Rye,Madison River Brewing Company,Rye Beer,2.5,3.6
Rooty Tooty Fresh 'n Fruity,Prairie Artisan Ales,Sour - Fruited,3.75,3.99
Barrel Aged Moose Boots,Prairie Artisan Ales,Stout - Imperial / Double Pastry,4,4.17
Double Vanilla Noir,Prairie Artisan Ales,Stout - Imperial / Double,4,4.23
Barrel Aged Aurox Imperial Stout (French Toast) -- Batch I (8/13/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.25,4.21
ISAAC,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendente Italian Farm Brewery,Wheat Beer - Witbier / Blanche,3,3.51
Ramble On,Starr Hill Brewery,IPA - New England / Hazy,2.75,3.76
Red Molly,Pale Fire Brewing Company,Red Ale - Irish,3,3.64
Loose Cannon,Heavy Seas Beer,IPA - American,3.75,3.69
Peter Straub Signature Brews Winter Bash,Straub Brewery,Fruit Beer,3.25,3.54
Percussive Maintenance: Vanilla (7th Anniversary Stout),Lion Bridge Brewing Company,Stout - Imperial / Double,4.5,4.29
Canadian Breakfast Stout (CBS) (2018),Founders Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.44
Hells Half Acre (Chocolate Lava Stout),Jackson Street Brewing,Stout - Other,4.25,4.16
Bigger Badder Baptista (2020),"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double Coffee,4,4.22
Bourbon County Brand Stout (2018) 14.7%,Goose Island Beer Co.,Stout - Imperial / Double,4.5,4.47
Florida Stout (Coconut & Vanilla) [Batch 3],Voodoo Brewing Co.,Stout - Imperial / Double Pastry,4.75,4.2
Black Butte XXIV,Deschutes Brewery,Porter - Imperial / Double,3.75,4.25
Kölsch 151,Blue Mountain Brewery,Kölsch,3.5,3.44
The Great Return,Hardywood Park Craft Brewery,IPA - American,3,3.7
Hitachino Nest Dai Dai Ale,Kiuchi Brewery,IPA - English,3.75,3.54
Get Chocolate Wasted,Gezellig Brewing Company,Stout - Imperial / Double Milk,3.25,4.19
Black Betty Imperial Stout,Nebraska Brewing Company,Stout - Russian Imperial,3.75,4.06
