Beer,Brewery,Style,YourRating,GlobalRating
RipRap Peanut Butter Cup Stout,Excelsior Brewing Company,Stout - American,3,3.69
Tripl3 Scoop,Barn Town Brewing,Stout - Imperial / Double Milk,4.25,4.05
Blackout Stout,Great Lakes Brewing Company,Stout - Russian Imperial,3,3.98
Kentucky Winter Golden Stout,Lexington Brewing & Distilling Co.,Stout - Imperial / Double White / Golden,3,3.69
Moose Drool Brown Ale,Big Sky Brewing Company,Brown Ale - American,4,3.64
Conway's Irish Ale,Great Lakes Brewing Company,Red Ale - Irish,3.75,3.66
Budweiser Black Lager,Anheuser-Busch,Lager - Dark,3.5,3.39
Special Pilsner,Capital Brewery,Pilsner - German,2.5,3.42
Double Hop Skewer,Barn Town Brewing,IPA - Imperial / Double,2.5,4.34
Batch To the Future,Barn Town Brewing,IPA - American,4,3.94
Barreled Treasure,Odell Brewing Co.,Stout - Imperial / Double,4.25,4.05
Sweet Child of Vine,Fulton Beer,IPA - English,4,3.68
Special Ale,Lake Superior Brewing Co.,Pale Ale - American,3.25,3.38
DirtWolf,Victory Brewing Company,IPA - Imperial / Double,3.75,3.93
Girl Stout Cookees,Barn Town Brewing,Stout - Pastry,4.25,4.19
Honey Brown Lager,Dundee Brewing Co,Lager - American Amber / Red,3.75,3.3
Raspberry Drive-In,Barn Town Brewing,IPA - Milkshake,4.25,3.96
Barrel Aged Maple Pecanye West (2019),Barn Town Brewing,Stout - Imperial / Double Milk,5,4.42
Gilbert Gold American Lager,Alluvial Brewing Company,Lager - American,3.5,3.55
Sundae Fundae,Madhouse Brewing Company,Stout - Imperial / Double,4.75,4.39
Mornin' Latte Imperial Coffee Milk Stout,Toppling Goliath Brewing Co.,Stout - Imperial / Double Milk,4.25,4.08
Deer Brand,Schell's Brewery,Lager - American,3.25,3.19
Premium,Grain Belt Beer,Lager - American,3.5,3.22
The Truth,Flying Dog Brewery,IPA - Imperial / Double,4,3.82
Malted Milkshake IPA,Full Sail Brewing Company,IPA - Milkshake,2.25,3.69
IPA,Omission Brewing,Gluten-Free,3.75,3.3
Bright White Ale,Bell's Brewery,Wheat Beer - Other,3.75,3.59
Hopsoulution Ale,Bell's Brewery,IPA - Imperial / Double,4,4
Speedway Stout,AleSmith Brewing Company,Stout - Imperial / Double Coffee,3.75,4.18
Space Station Middle Finger,3 Floyds Brewing,Pale Ale - American,4,3.9
Saison,Boom Island Brewing Company,Farmhouse Ale - Saison,4,3.48
Double Bubble,Rush River Brewing,IPA - Imperial / Double,3.5,3.75
German Chocolate Cake,Coronado Brewing Company,Stout - Imperial / Double,3.75,3.8
Farmer John’s Multi-Grain Ale,Confluence Brewing Company,Blonde Ale,4,3.58
Gigantic IPA,Gigantic Brewing Company,IPA - American,3.75,3.78
Cashmere Hammer,3 Sheeps Brewing Company,Stout - American,4.25,3.83
Guinness Blonde,Guinness,Lager - Pale,3,3.25
Lager ,Omission Brewing,Gluten-Free,3.5,3.09
Most Premium Russian Imperial Stout,Gigantic Brewing Company,Stout - Russian Imperial,3.5,3.95
Best Brown Ale,Bell's Brewery,Brown Ale - American,3,3.69
White Label (2017),Almanac Beer Company,Sour - Other,1.5,4.11
Toucan Punch,Belching Beaver Brewery,Sour - Fruited,0.25,3.86
Snowsuit Winter Abbey,Lucky Bucket Brewing Company,Winter Ale,2.25,3.47
Hinterland Packerland Pilsner,Hinterland Brewery,Pilsner - German,3.5,3.39
Sheephead American Bitter,Brau Brothers Brewing Company,IPA - Red,3.75,3.36
¡Viva La Beaver!,Belching Beaver Brewery,Stout - Milk / Sweet,5,4.09
There Gose The Neighborhood,Against the Grain Brewery,Sour - Fruited Gose,2,3.51
420 Strain G13 IPA,SweetWater Brewing Company,IPA - New England / Hazy,2.75,3.72
New Grist Pilsner Style Beer,Lakefront Brewery,Gluten-Free,2.75,2.96
Coffee Stout,Schlafly - The Saint Louis Brewery,Stout - Coffee,3,3.79
Sippin' Outta Sight Chocolate-Cherry Martini Imperial Stout (2018),Hoppin' Frog Brewery,Stout - Imperial / Double,3.75,3.91
Pale Ale,Omission Brewing,Gluten-Free,3.5,3.25
White Rascal,Avery Brewing Co.,Wheat Beer - Witbier / Blanche,3.75,3.62
Abbey Ale,Brewery Ommegang,Belgian Dubbel,3,3.8
Barrel Aged B.O.R.I.S. ,Hoppin' Frog Brewery,Stout - Russian Imperial,4,4.18
Tip the Cow,SingleSpeed Brewing Company,Stout - Coffee,3.25,3.97
Trend Bucker,NoCoast Beer Co,Stout - American,4,3.69
Purple Haze,Abita Brewing Company,Fruit Beer,2.75,3.42
Dragonstooth Stout,Elysian Brewing Company,Stout - Imperial / Double Oatmeal,3.5,3.82
Honey Orange Tripel,New Belgium Brewing Company,Belgian Tripel,3.25,3.8
Shiner Bohemian Black Lager (Shiner 97),Spoetzl Brewery,Schwarzbier,3.25,3.46
Space Dust IPA,Elysian Brewing Company,IPA - American,3.75,3.85
Special Double Cream Stout,Bell's Brewery,Stout - American,3.25,3.83
Sunshower,East Grove Farms,Mead - Other,2,3.73
El Cedro,Jester King Brewery,Farmhouse Ale - Saison,3.25,3.84
11 Pipers Piping (2019),The Bruery,Scotch Ale / Wee Heavy,3.75,3.82
Cherry Choctabulous,Rogue Ales,Stout - Milk / Sweet,4,3.91
American IPA (AIPA),Schlafly - The Saint Louis Brewery,IPA - American,3.5,3.74
Canadian Breakfast Stout (CBS),Founders Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.46
Double Burnt Caramel,Clown Shoes,Brown Ale - Imperial / Double,3.75,3.95
Milk Stout Nitro,Left Hand Brewing Company,Stout - Milk / Sweet,3.75,3.94
Raison D'Extra,Dogfish Head Craft Brewery,Belgian Strong Dark Ale,4,4.04
Amber Ale,Bell's Brewery,Red Ale - American Amber / Red,2.75,3.59
Absence of Light Peanut Butter Chocolate Milk Stout,4 Hands Brewing Company,Stout - Milk / Sweet,3.75,4.07
Tangerine Wheat,Lost Coast Brewery,Wheat Beer - Other,3,3.67
Singel,Hardywood Park Craft Brewery,Belgian Blonde,2.25,3.53
Citra Pale Ale,Hinterland Brewery,Pale Ale - American,3.25,3.65
Birthday Bomb!,Prairie Artisan Ales,Stout - Imperial / Double,5,4.29
Screenshot,Prairie Artisan Ales,Stout - Imperial / Double Coffee,5,4.24
Next Coast,Goose Island Beer Co.,IPA - American,3,3.66
Stone IPA,Stone Brewing,IPA - American,4,3.76
Busch Light,Anheuser-Busch,Lager - American Light,5,2.55
DAAANG! IPA,Zipline Brewing Co.,IPA - Imperial / Double,3.75,3.92
Breakfast Stout,Founders Brewing Co.,Stout - Oatmeal,3.75,4.12
Pranqster,North Coast Brewing Company,Belgian Strong Golden Ale,3.75,3.75
Scrimshaw,North Coast Brewing Company,Pilsner - German,2.75,3.54
Anchor Steam Beer,Anchor Brewing Company,California Common,2.75,3.49
Shiner Bock,Spoetzl Brewery,Bock - Single / Traditional,4,3.5
Unfiltered Wheat Beer,Boulevard Brewing Co.,Wheat Beer - American Pale Wheat,3.75,3.6
Hopalicious,Ale Asylum,Pale Ale - American,3.75,3.74
Hop Hunter,Sierra Nevada Brewing Co.,IPA - American,3.75,3.78
Spotted Cow,New Glarus Brewing Company,Farmhouse Ale - Other,3.75,3.89
Redbridge,Anheuser-Busch,Sorghum / Millet Beer,2.75,2.5
Belgian White,Shock Top Brewing Co.,Wheat Beer - Witbier / Blanche,3.5,3.31
Snowdrift Vanilla Porter,Jacob Leinenkugel Brewing Company,Porter - American,3.75,3.53
Two Hearted Ale,Bell's Brewery,IPA - American,3,3.95
Honey Weiss,Jacob Leinenkugel Brewing Company,Wheat Beer - Kristallweizen,2.75,3.28
Fat Tire,New Belgium Brewing Company,Red Ale - American Amber / Red,3.5,3.58
Newcastle Brown Ale,John Smith's,Brown Ale - English,3.75,3.39
Fiddler,Potosi Brewing Company,Stout - Oatmeal,3.5,3.55
Jubelale,Deschutes Brewery,Winter Ale,2.5,3.58
Tragedy of the Common,IOWA BREWING Co.,California Common,3,3.52
Prairie Path Ale,Two Brothers Brewing Company,Gluten-Free,2.75,3.32
Cherry Wheat,Samuel Adams,Wheat Beer - American Pale Wheat,3.75,3.41
Lucky 13 (Mondo Large Red Ale),Lagunitas Brewing Company,Red Ale - Imperial / Double,3.5,3.83
OG,Peace Tree Brewing Company,Sour - Fruited Gose,2.5,3.72
Canoe Paddle Kölsch,Jacob Leinenkugel Brewing Company,Kölsch,3.5,3.33
Wailua Wheat,Kona Brewing Company,Wheat Beer - American Pale Wheat,3.75,3.51
German Pilsner,Millstream Brewing,Pilsner - German,3.75,3.45
Mango Wheat,Blue Moon Brewing Company,Wheat Beer - Witbier / Blanche,3.25,3.54
Murderhorn,Backpocket Brewing,Belgian Strong Golden Ale,3,3.66
Moongold Apricot,Keg Creek Brewing Company,Wheat Beer - Other,3.75,3.63
Oak-Aged Imperial Red,Madhouse Brewing Company,Red Ale - Imperial / Double,5,3.62
